Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4
Date and Time,Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Date and Time,Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Date and Time,Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Date and Time,Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
05/11/2019 11:53:05 am,0.000,0.000,,,0.0000,,,05/11/2019 11:54:36 am,-0.100,,,10.084,,,0.241,05/11/2019 11:57:40 am,-0.100,,,-1.357,,,-0.032,05/11/2019 11:58:05 am,-0.100,,,-20.168,,,-0.481
05/11/2019 11:53:05 am,0.050,0.000,0.000,,0.0000,0.000,,05/11/2019 11:54:36 am,-0.050,,,-0.388,,,-0.009,05/11/2019 11:57:40 am,-0.050,,,-1.357,,,-0.032,05/11/2019 11:58:05 am,-0.050,,,-16.484,,,-0.394
05/11/2019 11:53:05 am,0.100,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,3.608E-16,-0.122,2.443,-10.472,-0.0029,0.058,-0.250,05/11/2019 11:57:41 am,3.608E-16,0.157,0.058,-0.776,0.0037,0.001,-0.019,05/11/2019 11:58:06 am,3.608E-16,0.244,-1.280,-9.308,0.0058,-0.031,-0.222
05/11/2019 11:53:05 am,0.150,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.050,0.017,2.094,-17.841,4.1667E-4,0.050,-0.426,05/11/2019 11:57:41 am,0.050,0.157,0.000,-0.194,0.0037,0.000,-0.005,05/11/2019 11:58:06 am,0.050,0.192,-1.978,-1.998E-14,0.0046,-0.047,-4.163E-16
05/11/2019 11:53:05 am,0.200,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.100,0.140,1.280,-20.944,0.0033,0.031,-0.500,05/11/2019 11:57:41 am,0.100,0.157,0.000,0.000,0.0037,0.000,0.000,05/11/2019 11:58:06 am,0.100,0.105,-2.269,9.890,0.0025,-0.054,0.236
05/11/2019 11:53:05 am,0.250,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.150,0.244,0.175,-19.393,0.0058,0.004,-0.463,05/11/2019 11:57:41 am,0.150,0.157,0.000,0.000,0.0037,0.000,0.000,05/11/2019 11:58:06 am,0.150,-0.017,-2.036,17.841,-4.1667E-4,-0.049,0.426
05/11/2019 11:53:05 am,0.300,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.200,0.279,-0.989,-13.187,0.0067,-0.024,-0.315,05/11/2019 11:57:41 am,0.200,0.157,0.000,0.000,0.0037,0.000,0.000,05/11/2019 11:58:06 am,0.200,-0.140,-1.222,20.944,-0.0033,-0.029,0.500
05/11/2019 11:53:05 am,0.350,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.250,0.262,-1.920,-3.297,0.0062,-0.046,-0.079,05/11/2019 11:57:41 am,0.250,0.157,0.000,0.000,0.0037,0.000,0.000,05/11/2019 11:58:06 am,0.250,-0.244,-0.058,18.229,-0.0058,-0.001,0.435
05/11/2019 11:53:05 am,0.400,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.300,0.175,-2.443,7.951,0.0042,-0.058,0.190,05/11/2019 11:57:41 am,0.300,0.157,0.000,0.000,0.0037,0.000,0.000,05/11/2019 11:58:06 am,0.300,-0.279,1.105,11.054,-0.0067,0.026,0.264
05/11/2019 11:53:05 am,0.450,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.350,0.052,-2.327,17.259,0.0012,-0.056,0.412,05/11/2019 11:57:41 am,0.350,0.157,0.000,0.194,0.0037,0.000,0.005,05/11/2019 11:58:06 am,0.350,-0.244,1.920,1.551,-0.0058,0.046,0.037
05/11/2019 11:53:05 am,0.500,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.400,-0.087,-1.571,21.720,-0.0021,-0.038,0.519,05/11/2019 11:57:41 am,0.400,0.157,0.000,0.582,0.0037,0.000,0.014,05/11/2019 11:58:06 am,0.400,-0.157,2.269,-8.145,-0.0037,0.054,-0.194
05/11/2019 11:53:05 am,0.550,0.000,0.000,0.000,0.0000,0.000,0.000,05/11/2019 11:54:37 am,0.450,-0.209,-0.407,20.556,-0.0050,-0.010,0.491,05/11/2019 11:57:41 am,0.450,0.157,0.000,0.776,0.0037,0.000,0.019,05/11/2019 11:58:06 am,0.450,-0.035,2.094,-16.096,-8.3333E-4,0.050,-0.384
